;Nombre;Estrellas;Ciudad;Calificacion;Numero de reseñas;Precio por noche;Direccion;Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10;Hotel Panorama;3;Ciudad de México;8.2;1424;360;Calzada de Guadalupe corner Platino 20,  6240,  Ciudad de México,  México;['Café', 'Check-in/check-out online', 'Check-in/out exprés', 'Cubrebocas disponibles', 'Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Restaurante', 'Sana distancia', 'Servicio a la habitación', 'Servicio a la habitación 24hrs', 'Servicio de limpieza', 'Snack bar', 'Toma de temperatura', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Baño con regadera', 'Caja fuerte en habitación', 'Escritorio', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Teléfono', 'Wifi', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,
11;Argentina;2;Aguascalientes;7.6;89;370;Republica de Argentina 407 Fraccionamiento Las Americas,  2023,  Aguascalientes,  México;['Caja fuerte en el hotel', 'Concierge', 'Estacionamiento', 'Lobby/vestíbulo', 'PC con internet', 'Recepción 24 horas', 'Renta de autos', 'Servicio de limpieza', 'Wifi en el lobby', 'Wifi gratis', 'Baño con regadera', 'Escritorio', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Tetera', 'Ventilador', 'Wifi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12;Plutarco Suites;0;Ciudad de México;8.1;125;375;Presidente Plutarco Elias Calles no. 488,  Ciudad de México,  México;['Bar en el hotel', 'Check-in/check-out online', 'Check-in/out exprés', 'Doctor en el hotel', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Restaurante', 'Sana distancia', 'Servicio a la habitación', 'Servicio de limpieza', 'Toma de temperatura', 'Aire acondicionado', 'Baño con regadera', 'Calefacción central', 'Escritorio', 'Radio', 'Secadora de cabello', 'Teléfono', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13;Hotel Posada Las Casas;2;San Cristóbal de las Casas;8.0;115;375;Francisco I. Madero 81,  29230,  San Cristóbal de las Casas,  México;['Check-in/check-out online', 'Check-in/out exprés', 'Desayuno', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Lobby/vestíbulo', 'Mascotas permitidas', 'Nuevos protocolos de seguridad', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sana distancia', 'Servicio a la habitación', 'Servicio de limpieza', 'Toma de temperatura', 'Traslado desde/al aeropuerto', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Caja fuerte en habitación', 'Escritorio', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14;Aurora Suites;3;Guadalajara;6.1;1171;376;Amatista 2558,  44560,  Guadalajara,  México;['Botones', 'Casino', 'Centro de negocios', 'Check-in/check-out online', 'Check-in/out exprés', 'Concierge', 'Estacionamiento', 'Habitación de no fumar', 'PC con internet', 'Recepción 24 horas', 'Renta de autos', 'Resguardo de equipaje', 'Servicio de lavandería', 'Servicio de limpieza', 'Spa', 'Terraza', 'Tienda/quiosco', 'Traslado desde/al aeropuerto', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Balcón', 'Caja fuerte en habitación', 'Equipo para planchar', 'Pantalla plana', 'Refrigerador', 'Sala de estar', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)', 'Salón de belleza', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,
15;Los Arcos Hotel - TULUM;0;Tulum;6.1;9;377;8 CALLE SAGITARIO PTE.,  77760,  Tulum,  México;['Alberca', 'Alberca exterior', 'Concierge', 'Desinfección frecuente', 'Doctor en el hotel', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sana distancia', 'Servicio de limpieza', 'Toma de temperatura', 'Wifi gratis', 'Wifi gratis (áreas comunes)', '', 'Aire acondicionado', 'Balcón', 'Televisión por cable', 'Wifi gratis (habitaciones)', 'Acceso para silla de ruedas', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16;San Cristóbal Bleisure Hotel;0;San Cristóbal de las Casas;9.9;23;378;37 C. Ejército Nacional 37,  29230,  San Cristóbal de las Casas,  México;['Concierge', 'Habitación de no fumar', 'Servicio de lavandería', 'Servicio de limpieza', 'Sombrillas', 'Terraza', 'Wifi gratis', 'Baño con regadera', 'Escritorio', 'Secadora de cabello'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17;Hotel Bugambilias;2;Obregón;7.4;223;379;Allende 420 entre Tabasco y Tlaxcala,  85000,  Obregón,  México;['Estacionamiento', 'Habitación de no fumar', 'Recepción 24 horas', 'Servicio de limpieza', 'Terraza', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Aire acondicionado', 'Balcón', 'Clóset', 'Escritorio', 'Lavavajillas', 'Microondas', 'Minibar', 'Refrigerador', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)', 'Salón de belleza'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18;Hotel Don Quijote;2;San Cristóbal de las Casas;7.6;67;385;Av. Cristóbal Colón,7,,  29200,  San Cristóbal de las Casas,  México;['Check-in/check-out online', 'Check-in/out exprés', 'Concierge', 'Cubrebocas disponibles', 'Desayuno', 'Doctor en el hotel', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sala de conferencias', 'Sana distancia', 'Servicio a la habitación', 'Servicio de lavandería', 'Servicio de limpieza', 'Toma de temperatura', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Caja fuerte en habitación', 'Equipo para planchar', 'Microondas', 'TV', 'Televisión por cable', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,,
19;Hotel Barroco;0;Puebla;8.6;332;385;Cuatro norte Numero cuatro centro,  72000,  Puebla,  México;['Check-in/check-out online', 'Check-in/out exprés', 'Cubrebocas disponibles', 'Desinfección frecuente', 'Doctor en el hotel', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sana distancia', 'Servicio de limpieza', 'Toma de temperatura', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Balcón', 'Baño con regadera', 'Clóset', 'Escritorio', 'Televisión por cable', 'Wifi gratis (habitaciones)', 'Acceso para silla de ruedas', 'Hab. para personas con discapacidad'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
