;Nombre;Estrellas;Ciudad;Calificacion;Numero de reseñas;Precio por noche;Direccion;Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71;Hotel Del Portal, Puebla;4;Puebla;7.8;566;526;Avenida Juan de Palafox y Mendoza 205 col. centro,  72000,  Puebla,  México;['Bar en el hotel', 'Botones', 'Check-in/check-out online', 'Check-in/out exprés', 'Concierge', 'Cubrebocas disponibles', 'Desayuno', 'Doctor en el hotel', 'Elevador', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Lobby/vestíbulo', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Restaurante', 'Sala de conferencias', 'Sana distancia', 'Servicio a la habitación', 'Snack bar', 'Spa', 'Toma de temperatura', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Balcón', 'Baño con regadera', 'Caja fuerte en habitación', 'Clóset', 'Escritorio', 'Se pueden abrir ventanas', 'Secadora de cabello', 'Televisión por cable', 'Teléfono', 'Ventilador', 'Wifi', 'Wifi gratis (habitaciones)', 'Masajes', 'Salón de belleza', 'Niñera'],,,,,,,,,,,,,,
72;Hotel Union;3;Guadalajara;5.9;116;528;av. Dr. Roberto Michel 218, Col. las Conchas,  44460,  Guadalajara,  México;['Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Lobby/vestíbulo', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Sana distancia', 'Servicio a la habitación', 'Terraza', 'Toma de temperatura', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Escritorio', 'Pantalla plana', 'Sala de estar', 'TV', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados', 'Hotel accesible'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73;Hotel Escala Puebla Centro;0;Puebla;9.0;294;529;706 Calle 12 Sur,  72500,  Puebla,  México;['Centro de negocios', 'Concierge', 'Doctor en el hotel', 'Gel desinfectante disponible', 'Gimnasio', 'Habitación de no fumar', 'Mascotas permitidas', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sala de conferencias', 'Servicio de limpieza', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Escritorio', 'Televisión por cable', 'Wifi gratis (habitaciones)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74;OYO Hotel Real Del Sur, Estadio Chihuahua;0;Chihuahua;5.2;226;530;Boulevard Fuentes Mares y Niños Heroes s/n,  Chihuahua,  México;['Desinfección frecuente', 'Estacionamiento', 'Habitación de no fumar', 'Recepción 24 horas', 'Resguardo de equipaje', 'Restaurante', 'Servicio de lavandería', 'Servicio de limpieza', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Aire acondicionado', 'Baño con regadera', 'Escritorio', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75;Hotel Gran Centenario;2;Mérida;7.6;441;530;Calle 55 #513 entre 60 y 62,  97000,  Mérida,  México;['Alberca', 'Alberca exterior', 'Check-in/check-out online', 'Cubrebocas disponibles', 'Desayuno', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sana distancia', 'Servicio de limpieza', 'Terraza', 'Toallas en la alberca', 'Toma de temperatura', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Aire acondicionado', 'Balcón', 'Baño con regadera', 'Clóset', 'Escritorio', 'Espejo de aumento', 'Pantalla plana', 'Secadora de cabello', 'TV', 'TV por satélite', 'Televisión por cable', 'Teléfono', 'Ventilador', 'Wifi', 'Wifi gratis (habitaciones)'],,,,,,,,,,,,,,,,,,,,,
76;Ayenda Frida Costa Azul;2;Ciudad de México;8.6;2006;535;San Salvador El Verde 3,  6010,  Ciudad de México,  México;['Centro de negocios', 'Cubrebocas disponibles', 'Desinfección frecuente', 'Doctor en el hotel', 'Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Gimnasio', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Sala de juegos o videojuegos', 'Sana distancia', 'Servicio a la habitación', 'Servicio a la habitación 24hrs', 'Servicio de limpieza', 'Toma de temperatura', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Balcón', 'Caja fuerte en habitación', 'Se pueden abrir ventanas', 'TV', 'Televisión de paga', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,,,
77;Hotel Lord;4;Ciudad de México;7.0;205;535;Doctor Velasco, 17 - Colonia Doctores,  06720,  Ciudad de México,  México;['Bar en el hotel', 'Botones', 'Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Restaurante', 'Sana distancia', 'Servicio a la habitación', 'Servicio a la habitación 24hrs', 'Toma de temperatura', 'Traslado desde/al aeropuerto', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Escritorio', 'Sala de estar', 'TV', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78;Departamentos Villas Capdeviel;0;Cancún;3.9;19;536;15 Guadalupe V. Rojas,  77509,  Cancún,  México;['Casino', 'Habitación de no fumar', 'Todo el departamento o casa', 'Wifi gratis', 'Aire acondicionado', 'Comedor', 'TV'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79;Hotel Escala Siglo XXI;0;Ciudad de México;8.8;537;539;Antonio Solís 101,  6800,  Ciudad de México,  México;['Bar en el hotel', 'Café', 'Concierge', 'Desayuno', 'Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Lobby/vestíbulo', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Restaurante', 'Servicio a la habitación', 'Servicio de limpieza', 'Snack bar', 'Traslado desde/al aeropuerto', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Caja fuerte en habitación', 'TV', 'TV por satélite', 'Wifi', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80;Hotel Posada Primavera;0;San Cristóbal de las Casas;9.4;238;539;16 de Septiembre 26,  29240,  San Cristóbal de las Casas,  México;['Botones', 'Café', 'Check-in/check-out online', 'Check-out extendido', 'Cubrebocas disponibles', 'Desinfección frecuente', 'Doctor en el hotel', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Limpieza de zapatos', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sana distancia', 'Servicio a la habitación', 'Servicio de lavandería', 'Servicio de limpieza', 'Toma de temperatura', 'Traslado desde/al aeropuerto', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Balcón', 'Chimenea', 'Clóset', 'Equipo para planchar', 'Sala de estar', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)'],,,,,,,,,,,,,,,,,,,,,,,
81;Hoteles Unico Express;0;Leon;8.4;518;540;Mérida 414, Col. Coecillo,  37260,  Leon,  México;['Desinfección frecuente', 'Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Sana distancia', 'Servicio de limpieza', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Aire acondicionado', 'Balcón', 'Caja fuerte en habitación', 'Escritorio', 'Pantalla plana', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)', 'Acceso para silla de ruedas', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82;Motel Fronorte;0;Mexicali;7.6;295;540;Carretera A Aeropuerto 4300,  21600,  Mexicali,  México;['Check-in/check-out online', 'Check-in/out exprés', 'Doctor en el hotel', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Sana distancia', 'Servicio a la habitación', 'Toma de temperatura', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Aire acondicionado', 'Televisión por cable', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83;Hotel Ecce Inn & Spa;3;Silao;9.2;695;542;Camino Bustamante Km 0.5,  36100,  Silao,  México;['Alberca', 'Alberca exterior', 'Bar en el hotel', 'Camastros', 'Centro de negocios', 'Check-in/check-out online', 'Check-in/out exprés', 'Desayuno', 'Doctor en el hotel', 'Estacionamiento', 'Gel desinfectante disponible', 'Gimnasio', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Restaurante', 'Sala de conferencias', 'Sana distancia', 'Servicio a la habitación', 'Servicio a la habitación 24hrs', 'Servicio de lavandería', 'Servicio de limpieza', 'Snack bar', 'Sombrillas', 'Toallas en la alberca', 'Toma de temperatura', 'Traslado desde/al aeropuerto', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Aire acondicionado', 'Balcón', 'Cafetera', 'Caja fuerte en habitación', 'Calefacción central', 'Equipo para planchar', 'Escritorio', 'Sala de estar', 'Televisión por cable', 'Tetera', 'Wifi', 'Wifi gratis (habitaciones)', 'Tina de hidromasaje', 'Estacionamiento adaptado para discapacitados', 'Club para niños', 'Parque infantil'],,,,,,,,
84;Hotel Colonial Playa del Carmen;3;Playa del Carmen;7.6;1104;542;Avenida 20 Norte entre Calle 2 y 4,  77710,  Playa del Carmen,  México;['Alberca', 'Alberca exterior', 'Camastros', 'Desayuno', 'Doctor en el hotel', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Lobby/vestíbulo', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Terraza', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Aire acondicionado', 'Sala de estar', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Tetera', 'Wifi', 'Wifi gratis (habitaciones)', 'Acceso para silla de ruedas'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85;Hotel Alameda;3;Orizaba;8.4;685;544;Av. Poniente 3 No. 512 col. Centro,  94300,  Orizaba,  México;['Café', 'Check-in/check-out online', 'Check-in/out exprés', 'Cubrebocas disponibles', 'Doctor en el hotel', 'Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Mascotas permitidas', 'Nuevos protocolos de seguridad', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Restaurante', 'Sala de conferencias', 'Sana distancia', 'Servicio a la habitación', 'Servicio de limpieza', 'Snack bar', 'Toma de temperatura', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Baño con regadera', 'Clóset', 'Televisión por cable', 'Teléfono', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86;OYO Hotel Emperador, Oaxaca;2;Oaxaca;5.9;213;545;Diaz Ordaz, 408 Colonia Centro,  68000,  Oaxaca,  México;['Check-in/check-out online', 'Habitación de no fumar', 'Lobby/vestíbulo', 'Opción de pago sin efectivo', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sana distancia', 'Servicio de limpieza', 'Snack bar', 'Terraza', 'Tienda/quiosco', 'Wifi en el lobby', 'Wifi gratis', 'Baño con regadera', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Ventilador', 'Wifi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87;Ayenda El Patio CDMX;0;Ciudad de México;8.4;174;545;Av. Insurgentes Nte. 734, Santa María Insurgentes, Cuauhtémoc, 06430 Ciudad de México, CDMX.,  6430,  Ciudad de México,  México;['Check-in/check-out online', 'Doctor en el hotel', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sana distancia', 'Servicio de limpieza', 'Snack bar', 'Traslado desde/al aeropuerto', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Caja fuerte en habitación', 'Escritorio', 'Pantalla plana', 'TV', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88;Hotel María Victoria;4;Xalapa Enriquez;8.6;1044;546;Calle Zaragoza No. 6,  91000,  Xalapa Enriquez,  México;['Bar en el hotel', 'Botones', 'Centro de negocios', 'Desayuno', 'Desinfección frecuente', 'Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Renta de autos', 'Resguardo de equipaje', 'Restaurante', 'Sala de conferencias', 'Sala de juegos o videojuegos', 'Sana distancia', 'Servicio a la habitación', 'Servicio de lavandería', 'Servicio de limpieza', 'Snack bar', 'Toma de temperatura', 'Traslado desde/al aeropuerto', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Aire acondicionado', 'Caja fuerte en habitación', 'Calefacción central', 'Equipo para planchar', 'Sala de estar', 'TV', 'TV por satélite', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados', 'Parque infantil'],,,,,,,,,,,,,,,,,
89;Hotel Maria Benita;3;Zacatecas;7.8;707;546;Avenida López Velarde 319-21,  319-21,  Zacatecas,  México;['Boutique en la propiedad', 'Centro de negocios', 'Check-in/check-out online', 'Check-in/out exprés', 'Desayuno', 'Desinfección frecuente', 'Doctor en el hotel', 'Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Lobby/vestíbulo', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Renta de autos', 'Resguardo de equipaje', 'Sana distancia', 'Servicio a la habitación', 'Servicio de lavandería', 'Terraza', 'Traslado desde/al aeropuerto', 'Valet parking', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Caja fuerte en habitación', 'Calefacción central', 'Equipo para planchar', 'Escritorio', 'TV', 'Wifi', 'Wifi gratis (habitaciones)', 'Acceso para silla de ruedas', 'Niñera'],,,,,,,,,,,,,,,,,,,,,
90;Hotel Villas del Bosque;0;Aguascalientes;6.1;280;546;Avenida Aguascalientes Norte No. 414 Colonia Bosques del Prado,  20120,  Aguascalientes,  México;['Caja fuerte en el hotel', 'Desayuno', 'Doctor en el hotel', 'Estacionamiento', 'Lobby/vestíbulo', 'PC con internet', 'Recepción 24 horas', 'Renta de autos', 'Servicio de limpieza', 'Snack bar', 'Terraza', 'Wifi en el lobby', 'Wifi gratis', 'Baño con regadera', 'Minibar', 'Radio', 'TV', 'Televisión por cable', 'Teléfono', 'Ventilador', 'Wifi', 'Wifi gratis (habitaciones)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91;Hotel Rincon Del Arco;4;San Cristóbal de las Casas;8.6;405;550;Ejercito Nacional 66,,  29220,  San Cristóbal de las Casas,  México;['Café', 'Check-in/check-out online', 'Concierge', 'Cubrebocas disponibles', 'Desayuno', 'Doctor en el hotel', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Restaurante', 'Sala de conferencias', 'Sana distancia', 'Servicio a la habitación', 'Servicio de lavandería', 'Servicio de limpieza', 'Sombrillas', 'Terraza', 'Toma de temperatura', 'Wifi en el lobby', 'Wifi gratis', 'Balcón', 'Caja fuerte en habitación', 'Chimenea', 'Equipo para planchar', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Wifi', 'Cama de bronceado', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,
92;Hostal Andaina;0;Oaxaca;9.0;192;550;J.P. García Núm. 308, Centro,  68000,  Oaxaca,  México;['Check-in/check-out online', 'Check-in/out exprés', 'Concierge', 'Cubrebocas disponibles', 'Gel desinfectante disponible', 'Habitaciones hipoalergénicas', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sala de juegos o videojuegos', 'Sana distancia', 'Servicio a la habitación', 'Sombrillas', 'Toma de temperatura', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Asador exterior', 'Balcón', 'Baño con regadera', 'Cafetera', 'Caja fuerte en habitación', 'Clóset', 'Cocina', 'Microondas', 'Refrigerador', 'TV', 'Ventilador', 'Wifi', 'Wifi gratis (habitaciones)', 'Parque infantil'],,,,,,,,,,,,,,,,,,,,,,,
93;Hostal Nordes;0;Oaxaca;9.7;36;550;Calle Valerio Trujano Calle Valerio Trujano 312,  68000,  Oaxaca,  México;['Check-in/check-out online', 'Check-in/out exprés', 'Concierge', 'Cubrebocas disponibles', 'Desinfección frecuente', 'Doctor en el hotel', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sala de juegos o videojuegos', 'Sana distancia', 'Sombrillas', 'Toma de temperatura', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Balcón', 'Baño con regadera', 'Clóset', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94;Hotel Mexicali;3;Ciudad de México;7.6;729;552;San Antonio Abad No 285,  06880,  Ciudad de México,  México;['Bar en el hotel', 'Café', 'Desayuno', 'Desinfección frecuente', 'Doctor en el hotel', 'Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Restaurante', 'Sala de conferencias', 'Sana distancia', 'Servicio a la habitación', 'Servicio a la habitación 24hrs', 'Servicio de lavandería', 'Servicio de limpieza', 'Terraza', 'Valet parking', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Baño con regadera', 'Caja fuerte en habitación', 'Clóset', 'Equipo para planchar', 'Escritorio', 'Sala de estar', 'TV', 'Televisión por cable', 'Teléfono', 'Wifi', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,
95;Hotel Plaza Regina Torreon;0;Torreon;8.0;377;556;CALLE JOAQUÍN MORENO,  27000,  Torreon,  México;['Café', 'Check-in/check-out online', 'Check-in/out exprés', 'Concierge', 'Desinfección frecuente', 'Doctor en el hotel', 'Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitaciones hipoalergénicas', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Renta de autos', 'Resguardo de equipaje', 'Restaurante', 'Sana distancia', 'Servicio a la habitación', 'Servicio de limpieza', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Aire acondicionado', 'Escritorio', 'Pantalla plana', 'TV', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados', 'Hotel accesible'],,,,,,,,,,,,,,,,,,,,,,,,,
96;Hotel Arcos del Parque;4;Acayucan;8.1;549;559;Hidalgo No. 804,,  96000,  Acayucan,  México;['Alberca', 'Camastros', 'Centro de negocios', 'Estacionamiento', 'Lobby/vestíbulo', 'PC con internet', 'Recepción 24 horas', 'Resguardo de equipaje', 'Restaurante', 'Servicio a la habitación', 'Servicio de lavandería', 'Servicio de limpieza', 'Terraza', 'Valet parking', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', '', 'Aire acondicionado', 'Escritorio', 'Se pueden abrir ventanas', 'TV', 'Wifi', 'Wifi gratis (habitaciones)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97;Hotel Zacatecas Courts;3;Zacatecas;8.2;215;560;Ramón López Velarde 602,  98000,  Zacatecas,  México;['Boutique en la propiedad', 'Cajero automático', 'Check-in/check-out online', 'Check-in/out exprés', 'Check-out extendido', 'Cubrebocas disponibles', 'Desinfección frecuente', 'Doctor en el hotel', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Mascotas permitidas', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Restaurante', 'Sana distancia', 'Servicio a la habitación', 'Servicio de lavandería', 'Servicio de limpieza', 'Snack bar', 'Tienda/quiosco', 'Toma de temperatura', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Calefacción central', 'Escritorio', 'Pantalla plana', 'Sala de estar', 'Se pueden abrir ventanas', 'TV', 'Wifi', 'Wifi gratis (habitaciones)', 'Salón de belleza', 'Acceso para silla de ruedas', 'Estacionamiento adaptado para discapacitados', 'Hotel accesible', 'Estancia gratuita para niños'],,,,,,,,,,,,,,,,,,
98;Hi Hotel Impala Queretaro;4;Queretaro;7.0;745;562;Colón, 1 - Col.Centro,  76000,  Queretaro,  México;['Bar en el hotel', 'Botones', 'Café', 'Centro de negocios', 'Check-in/check-out online', 'Check-in/out exprés', 'Concierge', 'Desayuno', 'Desinfección frecuente', 'Doctor en el hotel', 'Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Gimnasio', 'Habitación de no fumar', 'Lobby/vestíbulo', 'Mascotas permitidas', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Restaurante', 'Sala de conferencias', 'Sana distancia', 'Servicio a la habitación', 'Servicio de lavandería', 'Servicio de limpieza', 'Sombrillas', 'Toma de temperatura', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Balcón', 'Caja fuerte en habitación', 'Equipo para planchar', 'TV', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)', 'Acceso para silla de ruedas', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,
99;Hotel Isabel;3;Puebla;9.0;1015;567;5 PONIENTE 125 COL. CENTRO,  72000,  Puebla,  México;['Bar en el hotel', 'Centro de negocios', 'Check-in/check-out online', 'Check-in/out exprés', 'Desinfección frecuente', 'Elevador', 'Gel desinfectante disponible', 'Gimnasio', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sala de conferencias', 'Sala de juegos o videojuegos', 'Sana distancia', 'Servicio a la habitación', 'Servicio de limpieza', 'Snack bar', 'Toma de temperatura', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Balcón', 'Caja fuerte en habitación', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)', 'Parque infantil'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
100;Posada del yaqui;3;Obregón;8.4;139;567;Sonora 637 Sur,  85000,  Obregón,  México;['Estacionamiento', 'Habitación de no fumar', 'Recepción 24 horas', 'Restaurante', 'Servicio de lavandería', 'Servicio de limpieza', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Aire acondicionado', 'Escritorio', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101;State Inn;3;Chihuahua;8.4;537;579;Tecnológico 7901 casi esquina con Juan Escutia Colonia Laura Leticia,  31120,  Chihuahua,  México;['Concierge', 'Desayuno', 'Estacionamiento', 'Habitación de no fumar', 'Lobby/vestíbulo', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sala de conferencias', 'Servicio de limpieza', 'Tienda/quiosco', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Aire acondicionado', 'Baño con regadera', 'Calefacción central', 'Clóset', 'Escritorio', 'Microondas', 'Pantalla plana', 'Se pueden abrir ventanas', 'Teléfono', 'Wifi', 'Wifi gratis (habitaciones)', 'Baño para personas con discapacidad', 'Estacionamiento adaptado para discapacitados', 'Hab. para personas con discapacidad', 'Hotel accesible', 'Estancia gratuita para niños'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102;Hotel Nacional;1;Oaxaca;7.8;543;580;20 de Noviembre 512,  68000,  Oaxaca,  México;['Camastros', 'Check-in/check-out online', 'Check-in/out exprés', 'Cubrebocas disponibles', 'Desayuno', 'Doctor en el hotel', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sana distancia', 'Servicio de lavandería', 'Servicio de limpieza', 'Snack bar', 'Terraza', 'Toma de temperatura', 'Traslado desde/al aeropuerto', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Balcón', 'Baño con regadera', 'Caja fuerte en habitación', 'Equipo para planchar', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Wifi gratis (habitaciones)'],,,,,,,,,,,,,,,,,,,,,,,,,,,
